data,stayingpower,texture,smell,price,others,colour,shipping,packing
"Chất son khỏi phải bàn rồi
910 màu cánh hồng khô
Lên môi xinh dễ dùng, cảm giác đất nhiều hơn khi lên môi",,positive,,,,positive,,
Hàng như hình màu đẹp lì lâu trôi shop giao hàng tương đối nhanh,positive,,,,,positive,positive,
"Son đúng tone màu nhưng có vẻ nhanh trôi đánh lên thì thấy mượt nói chung ok cho 5 sao ạ*::::"";""---------------------____________--------------------",negative,positive,,,,positive,,
"Chất lượng sản phẩm tuyệt vời, son thơm , màu siu xinh luôn ạ , tuyệt 🥰",,,positive,,,positive,,
Ygghg bhbjjnhdcb.     Cvdghh.   Hbijkyjghyfgbjjs hvnhibfb huhjbh,,,,,neutral,,,
(Đánh giá chỉ mang tính chất nhận xu).....................,,,,,neutral,,,
"Son lên chuẩn màu, video chỉ mang tính chất nhận xu",,,,,,positive,,
"Đóng gói chắc chắn, 2 lần lớp chống sốc. Màu đỏ xinh, không bị xỉn màu răng. Chất son dễ tán, thấm nhanh, không bị mùi quá hắc. Giao hàng khá lâu.",,positive,positive,,,positive,negative,
Thề chứ màu 302 nó xinh xinh xinh lắm í. Nếu như mà mn đã dùng nhiều màu có sắc nâu đánh nhiều lớp trông bị già thì màu này đúng là chân ái luôn í. Nó kiểu đỏ cà chua mà k bị chói hợp vs mọi tông da luôn. Đánh nhiều lớp cũng k bị già như mấy son có sắc nâu vs cả đánh lên trông da trắng bần bật luôn,,,,,,positive,,
Hshnendjidkeniskwjwnwnsbshxjjdne ênnskwkwnx x  x xdnnđ,,,,,neutral,,,
Son quá đẹp luôn . Yeu luôn ấy Sẽ ủng hộ shop dài dài ah . Ship nhiệt tình,,,,,neutral,,,
Sản phẩm đẹp giống hình son có mùi thơm của socola đáng mua ạ gnasgsks gânuanbdidnhdjdidndjdidns síbehdkshaiwnsjdnxnnxhdhhe,,,positive,,,,,
"Tiếng Nhật Bản, Tiếng Nhật hay Nhật ngữ (日本語にほんご (Nhật Bản ngữ) Nihongo?, [ɲihoŋɡo] (nghe) hoặc [ɲihoŋŋo]) là một ngôn ngữ Đông Á được hơn 125 triệu người sử dụng ở Nhật Bản và những cộng đồng dân di cư Nhật Bản khắp thế giới. Tại Việt Nam nó cũng là một trong các ngoại ngữ được giảng dạy trong chươ",,,,,neutral,,,
Okla nha son khá mịn và bám lâu màu son ok màu này bạn nào da trắng một chút đánh sẽ hợp nha ❤️😍❤️🥰😘😋😭😮😌😆😃🧆😯,positive,positive,,,,positive,,
"Màu son y mô tả, chất son siêu đẹp mau khô, lâu trôi. Mình mua màu 927 đánh nhẹ thì hơi giống hồng cánh sen :)) nhưng mà đánh đậm thì siêu sang phù hợp cho các bạn đi làm hoặc đi tiệc",positive,positive,,,,positive,,
Màu son đẹp lì dùng tới cây thứ N vẫn thích ..................,positive,,,,,positive,,
Son đẹp màu ok la nha mn . Vs giá như này mình nghĩ khá ổn 😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝,,,,positive,,positive,,
"Son đẹp 
Màu tươi 
Nhìn trẻ trung 
Ship nhanh 
Đánh giá cao cho shop này là 5 sao 👍",,,,,,positive,positive,
"Son siêu đẹp, đóng gói chắc chắn sẽ tiếp tục ủng hộ",,,,,,,,positive
"Hình ảnh mang tính chất để nhận xu thôi ạ. Chưa đánh thử nên chưa biết lên môi có đẹp k, nhưng dịch mà giao hàng cũng khá nhanh.",,,,,,,positive,
"Công dụng: OK
Kết cấu: ok
Độ bền màu: okkkk
Cjosncoachkhogakgaxkgaxkgakglgaclaclalgaclg",positive,positive,,,,,,
mua iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,,,,,neutral,,,
"Màu đẹp lắm nha mọi người, mà màu này minh thấy mấy bạn da ngăm nên cân nhắc nha, tại nếu đánh lên nó hơi xỉn màu da ý. Mình thuộc da trung bình sáng nên là đánh nó nhìn cũng oke",,,,,,positive,,
"Công dụng: ok
Kết cấu: ok
Độ bền màu: màu đẹp mùi thơm
Son lên màu đẹp lắm nha, mùi thơm nữa, shop bọc chống sốc cẩn thận, mỗi tội giao hơi lâu chờ muốn xiủmxmmdmdmfnfmnfmfnfjjwbhdjdjdnndnfjfjjfnfnfjnfnfnfnncjfjfmfmmfnfjfjfjjfjfjfjjfjfjfnvnnfnfjfjfjfjfjjfjfjfjfjjdjsjsjsjsjdjjfnfnfncjjcjcjcjcjjcjcjcjcjjcjcjcjcjckkckckcjcjcjfjjfjfkfjjfjfjf",neutral,positive,positive,,,positive,negative,positive
"make vào đánh sẽ hợp hơn nha
để mặt mộc đánh son này thì ai trắng mới đc",,,,,neutral,,,
"Màu đẹp, shop gói hàng rất okeeeeee nha, có dịp sẽ ủng hộ",,,,,,positive,,positive
Shop đóng gói hàng cẩn thận son màu rất đẹp sẽ tt ủng hộ shop 😍😍😍,,,,,,positive,,positive
"Nhận đủ hàng, mùi thơm, chưa dùng nên chưa biết có lì không",neutral,,positive,,,,,
Giao hàng hơi lâu vì là hàng quốc tế shop đóng gói kĩ son màu đẹp hình ảnh mang tính chất nhận xu,,,,,,positive,negative,positive
"Son khá nhỏ, chất son mịn nhưnq hơi kì, lớp base thì lì, phù hợp giá",positive,positive,,positive,,,,
"mua đợt sale nên giá khá là yêu thương, shop đóng gói rất cẩn thận. rất ưng ý với sản phẩm",,,,positive,,,,positive
"Son đẹp , daimanpu mùi thơm chocolate nhưng herorange mùi ko thơm",,,neutral,,,,,
Tự dưng chất son này lạ quá mn . Mình mua lần 2 mà k thấy giống như lần trước . Mình nghĩ chắc tại mới dùng . Snsnsnsnssmsdddndnnddnsmdmdmdm,,negative,,,,,,
"Màu đẹp aaaaaaaaaaa
Mua 2 lần r rất ưng ạ
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍",,,,,,positive,,
NAN,,,,,neutral,,,
"Giao hàng nhanh, màu lên xinh lắm mn nha, packaging xinh xẻo lắm luôn í",,,,,,positive,positive,
"Giao hàng nhanh, đóng gói cẩn thận chắc chắn , lần này còn có kèm thiệp xinh xắn, son thơm, mịn và lỳ. Ncl xứng đáng 5 sao.",positive,positive,positive,,,,positive,positive
Okkkkkkkkk,,,,,neutral,,,
"Lên màu cũng oke lắm á, không biết có giữ được lâu không. Nói chung đồ nội địa thì cũng xài cho vuii thoiiiiu",neutral,,,,,positive,,
"Eo ôi. Cưng xỉu😂😂
Nói chung vừa mịn vừa lì
rẻ mà chất lượng",positive,positive,,positive,,,,
Công dụng: sAn pham rat chat luong nha moi nguoi nen mua aj dung thich lamw,,,,,neutral,,,
"Son vỏ bọc siêu cute luôn , son có mùi thơm nhẹ đánh lên môi làm mềm môi , màu đẹp với giá bèo vậy mà mua son oce của oce ( kh làm mình thật vọng ) 😊",,positive,positive,positive,,positive,,
"Chất son lì lắm mn ơi
Mình dùng mix vs màu khác sẽ xinh hơn đấyyy",positive,,,,,neutral,,
"Hàng nc ngoài nên giao lâu
Gói hàng đẹp
Son thơm mùi sô cô la
Màu đẹp nhưng cũng k lì mấy, dễ trôi 
Nói chung giá rẻ mà đc thỏi son như này cx khá ưng, nên mua nha",negative,,positive,positive,,positive,negative,positive
Chưa chụp được ảnh nhưng son rất xinh. Hàng auth chuẩn. Nên mua mng,,,,,neutral,,,
"Dù dịch nhưng giao hàng rất nhanh ạ, son cũng rất okeeeee, mua ở đây cũng yên tâm hơn nhiềuuuuuuuuuu",,,,,,,positive,
Đẹp lắm nha hnajannckakmxkcjjsjxnxnnsjdjdjdxjjskjsjfjh,,,,,neutral,,,
"Công dụng: danh sinsd
Kết cấu: vo va hop
Độ bền màu: mau bbia 25
Ổn chưa biết nếu được sau mua tiếp",,,,,neutral,,,
"Công dụng: Son cam chac tay, vo dep chac chan
Kết cấu: khong bi kho moi, chat mem min
Độ bền màu: mau len dep",neutral,positive,,,,positive,,
Mua làm quà sinh nhật nên cũng chưa biết chất lượng nhưng giá hạt rẻ và giao hàng ok ạ,,,,positive,,,positive,
"Màu 25 đẹp lắm luôn đánh lên mịn môi lắm ạ., hang shoppe mall có khác, gói hàng có tâm lắm luôn, tuy nhiên giao hàng hơi chậm do ảnh hưởng của dịch nên thông cảm ạ, lần sau sẻ ủng hộ tiếp ạ",,positive,,,,positive,positive,positive
"màu đẹp, thơm mùi si cu la nồng nàng luông =))) 
đáng mua lắm nhe",,,positive,,,positive,,
Săn sale còn được tặng 1 mask môi hihi. Ủng hộ shop lần thứ 3 rồi đúng kiểu càng mua càng thích. Son tô lên chất khá thích nhưng màu mình thích đỏ đậm mà do sắc tố môi mình tô lên hơi hồng. Nchung đáng mua,,positive,,positive,,negative,,
"Son mùi thơm lắm luôn ấy nhưng mà đánh lên môi có vẻ là hơi bị khô
Màu lên cũng chuẩn
Mà giá rẻ quá trời
Ảnh k liên quan",,negative,positive,positive,,positive,,
"Màu đẹp lắm luôn ạ, khá lì, ship cũng nhanh nữa, nói chung là okela lắm ạ❤️ hình ảnh mang tính chất nhận xu ạ =)))",positive,,,,,positive,positive,
Đóng gói cẩn thận lắm.. mình mua tặng nên củng ko test chất son nữa 🥰 mong sẽ đẹp,,neutral,,,,,,positive
"Chất son mịn, lên màu đẹp, không gây cảm giác vón cục. Nói chung là rất ưng ý",,positive,,,,positive,,
"Đóng gói ok, hàng giao đúng. Chất lượng son ổn so vs giá tiền, nên mua thử. Giao hàng khoảng 1 tuần",,,,positive,,,neutral,positive
"nhận được hàng mấy hôm mà nay mới nhớ ra để đánh giá ấy. giao hàng lâu xỉu, son xinh",,,,,,,negative,
giao nhanh. đóng gói cẩn thận. màu đẹp. 👍👍👍👍👍👍👍☺️☺️☺️☺️☺️👍👍👍👍👍👍👍👍👍☺️,,,,,,positive,positive,positive
Kể từ hôm nay cọc tiền đi hàng nha mấy ch yêu..khách cũ thì không cần  cọc..khách mới muốn mua hàng phải cọc có mấy chị xinh đẹp quá mà sướng tay gõ bàn phím thoi chứ không có sướng chân nhỉ😚 FB Lê Đoan Chuyên hàng hot girl,,,,,neutral,,,
"chất son xịn mịn mùi khá thơm nhẹ thôi,với giá này thì không chê nhé",,positive,positive,positive,,,,
"Chất son matte, có trôi nhẹ nếu ăn uống hoặc đeo khẩu trang, cực mỏng trên môi, không làm khô lộ vân giống các dòng matte khác. Màu trên hình là 505 thiêng về cam, nhưg bên ngoài có sắc hồng kiểu cam hồng nâu. Trọng lượng ít cầm nhỏ gọn, tiết kiệm vì đôi khi mua son lớn xài mãi không hết bỏ cũng phí",neutral,positive,,,,neutral,,
Sản phẩm đẹp nha mng . Chất lượng hơn sức tưởng tượng. Hình ảnh chỉ mang tính chất nhận xu 🥲,,,,,neutral,,,
"son lì, mịn, ko có mùi khó chịu, lúc mới mở hàng thì mùi hộp nhựa khó chịu nhưng son ko có mùi ạ, chất lượng luôn❤️",positive,positive,positive,,,,,
"Công dụng: son đẹp lắm ạ
Kết cấu: màu xinh xĩu luôn
Độ bền màu: son lì nhẹ thui nhưng mình thích kiểu í nên khum sao ạ
Giao hàng hơi lâu
Mua hai cây được deal 75k mà hoàn thêm 30k xu nữa
Shop tư vấn nhiệt tình nhen
Quá đã luôn",positive,neutral,,positive,,positive,negative,
Mình đặt màu 503 lẽ ra là màu cam pha tí đất gạch rốt cuộc về lên môi mình là màu hồng đât. Ôi không mình k thích màu hồng này một xíu nào. Khá thất vọng luôn,,,,,,negative,,
"Hàng được đóng gói cẩn thận, chất lượng thì khỏi bàn hàng chính hãng..mình đã đặt hàng ở shop hai ba lần rồi..sẽ tiếp tục ủng hộ shop!",,,,,,,,positive
"Sản phẩm chaat lượng tuyệt vời , sẽ ủng hộ shopppppppppppppp",,,,,neutral,,,
Shop giao nhanh. Đây là cây thứ 5 mình mua rồi nè. Nhưng mà đợt này hơi thất vọng tí là vừa bóc ra nhìn cây son giống kiểu bị dùng r á,,,,,,,positive,
"Công dụng: xinh hơn
Kết cấu: xinh
Độ bền màu: oki bám lâu
Màu dẹp lắm nha ậmuf lên xinh và vô cùng đẹp",positive,positive,,,,positive,,
"Công dụng: giá tuy rẻ tiền như rất uy tín nha m.n
Kết cấu: giao hàng hơi lâu xíu
Độ bền màu: đcc 24h nhé m.n",positive,neutral,,positive,,,negative,
"Chuẩn bị hàng nhanh,chất son thơm ,lần dau sẽ ủng hộ tiêpa 😂😂😂",,neutral,positive,,,,,
"Son xinh lắm ạ 
                                   *hình ảnh mang tính chất nhận xu*",,,,,neutral,,,
chất lượng okay săn sale được giao hơi lâuu nhưng okke ổn lắm nên,,,,positive,,,negative,
Son như hình đẹp ko có gì để chê...........................,,,,,neutral,,,
"Chất son mịn, mềm, lên màu đẹp, cụec thơm, nên nua nhé ạaaaaaaaa",,positive,positive,,,positive,,
"eo ơi dùng thích mê ý, này mình mua đến lần t3 rùi nhé, rẻ mà chất yêu đcđ, sr vì hình ảnh k lquan",,positive,,positive,,,,
Màu đẹp đáng giá tiền khá tốt hơn khó mở một chút rất đáng giá tiền ,,,,positive,,positive,,
"Hàng qte giao cũng khá nhanh tầm 1 tuần là nhận được. Màu 501 màu xinh kiểu mlbb, son có mùi thơm nhẹ. Son sau khi để khô lại rửa với nước ít bị trôi",positive,,positive,,,positive,positive,
xinhhhhhhhhhhh :))))))))) nhưng mà ko hiểu sao lúc mới mở son ko dc đầy,,,,,neutral,,,
tốt 💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕,,,,,neutral,,,
"Chất lượng sản phẩm rất tuyệt vời, giao hàng nhanh và đóng gói chắc chắn",,,,,,,positive,positive
"Đẹp ạ, quá xuất sắc hehee..... giao đúng màu đúng mẫu không thiếu thứ gì hihi... gút chóp lun",,,,,,,positive,
Hình ảnh chỉ mang tính chất lấy xu son chính hãng son bao lì ăn cũng ko phai màu,positive,,,,,,,
Màu son không giống tưởng tượng =((((((((((((((((((((((((((((,,,,,,negative,,
"Màu lên đẹp, bám lâu, tuy nhiên phải đánh nhiều lên môi mới đẹp, giao nhanh",positive,,,,,positive,positive,
"Sản phẩm chất lượng, son thơm lắm, shop giao hàng nhanh, tuyệt vời",,,positive,,,,positive,
"son được shop đóng gói rất cẩn thận, giao hàng cũng khá nhanh chưa thử nên chưa biết son thế nào",,,,,,,positive,positive
"Bba 25 là màu son đỏ nâu đẹp bất bại với mìn, m mua cây thứ hai màu này rồi ko có gì để chê shop gói hàng xinh xắn giao nhanh",,,,,,positive,positive,positive
Mua lần nào cũng ưng luôn ý son đẹp màu xinh giá phù hợp với học sinh,,,,positive,,positive,,
"Đánh giá chỉ mang tính chất nhận xu còn hàng chất lượng bình thường không được lì đâu, vẫn trôi son bình thường nha",negative,,,,,,,
Màu siu xink nha tuy nó hơi bêtj bệt xíu nhg vs giá mk mua là ổn r (つ✧ω✧)つ,,negative,,positive,,positive,,
"Thiết kế nhìn sang lắm ạ
Mùi socola rất thơm
Lên màu đẹp nữa
Hàng rẻ và đẹp lắm. Lần sau sẽ ủng hộ shop nhiều nhiều😍🥰",,,positive,positive,,positive,,
"Kết cấu: thon dài nắp bóng trơn thân thì nhám có in hãng son và tem chống giả đít son thì để số màu và tên
Độ bền màu: chùi mãi ko ra
Mua gái sale nên rẻ lắm nè bạn nào da ngăm thì có thể chọn màu 24 hoặc 25 nha đánh nhẹ thôi đậm quá ko tự nhiên 
Son mùi thơm lắm lâu trôi",positive,neutral,,positive,,positive,,
bdbsjxnd dhxjsnsnskksd. dínndmdskkd jxnsjksndmx zjxjjsjdj,,,,,neutral,,,
Màu son hot của bbia. Chất son mềm mịn dễ tán. Màu đỏ đất tôn da. Độ bám trung bình,neutral,positive,,,,positive,,
"Giao hàng hơi lâu vì là hàng quốc tế, giao đủ sản phẩm, đóng gói ổn",,,,,,,negative,positive
Giao hàng nhanh . Lên màu cực đẹp còn thơm nữa 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,,,positive,,,positive,positive,
"Chất lượng phù hợp với giá tiền, đóng gói cận thận, packaging rất đẹp mắt",,,,positive,,,,positive
Đóng gói sp chắc chắn 🥰 son đẹp ship nhanh có cả thư m.n nên mua ủng hộ shop mk sẽ mua tiếp lần sau,,,,,,,positive,positive
"VAY NHANH AN TÂM, CHỦ ĐỘNG CUỘC SỐNG

⚡ Sản phẩm Vay tiền mặt của Home Credit nổi bật với 3 tiêu chí:
#Nhanh bất ngờ, chỉ 3 phút duyệt vay, giải ngân khi hồ sơ được duyệt
#An_tâm với công ty tài chính được giám sát bởi Ngân hàng nhà nước Việt Nam.
#Chủ_động lựa chọn những gì tốt nhất cho bản thâ",,,,,neutral,,,
"Công dụng: Son môi
Kết cấu: Kem lì
Độ bền màu: Ổn
Nên mua, mùi dễ chịu, vỏ son đen bóng nhìn sang chảnh",positive,neutral,positive,,,,,
Son k đặc nhưng lên màu đẹp. giao hàng nhanhhhhhhhhhhhhhhhhh,,,,,,positive,positive,
Son đẹp tuyệttttttttt zờiiiiiiiiiiiiiiiiii k chê đướcj gì cả,,,,,neutral,,,
Son màu bợt hơn mình nghĩ. Nhưng kết hợp trộn vs màu đỏ thì lên màu đẹp................,,,,,,positive,,
"Son đẹp, giao hàng nhanh dù đang dịch, chưa đánh thử nên chưa review màu",,,,,,neutral,positive,
"Độ bền màu: t
Son đánh khá khô môi, tiền nào của ấy ạaa, lên màu cũng tạm ổn, giao hàng 2 tuầb",neutral,negative,,neutral,,positive,neutral,
màu ở ngoài nhìn cinhhh nma son khô hơi nhanh bôi lên môi ch kịp tán đã khô rồi,,negative,,,,positive,,
"Rẻ đẹp , mùi thơm nhẹ, mịn nên tậu ngay em dìa i mọi ngừi ,ngon bổ rẻ :>>>",,positive,positive,positive,,,,
Màu son xinh lắm ạ lên môi tôn da với trắng răng lắm ạ,,,,,,positive,,
"Son ko được đầy lắm, ko biết đủ ko, chất son mịn nhưng ko lâu trôi, lau nhẹ là đi rồi. Màu son khá đẹp.",negative,positive,,,,positive,,
"Sản phẩm đúng hình ảnh chất lượng tốt, đóng gói chắc chắn cẩn thận, giao hàng nhanh chóng, sẽ mua lại lần sau",,,,,,,positive,positive
Son lên màu xinh mướt môi giữ màu khoảng 4tiếng nhưng mình k thích cái chỗ đầu thỏi son lắm lấy ra hơi vướng dễ lem,positive,positive,,,,positive,,
Màu merzy hơi thiên đỏ là nhiêu đánh lên cũng xinh còn cam đất cũng oke thơm mùi socola,,,positive,,,positive,,
"Son đóng gói kỹ càng kinh khủng, bên ngoài gói hộp to xong còn dán hàng dễ vỡ 😂 Son thơm màu cũng chuẩn không chê được vào đâu nhé",,,positive,,,positive,,positive
Son cầm nhẹ tay. Mình ngửi có mùi thơm cũng ổn. Mình chưa đánh thử lên môi nhưng mong sẽ ổn,,,positive,,,,,
Giao hàng hơi lâu đóng gói cẩn thận màu hơi sáng hơn so với ảnh chụp giá rẻ,,,,positive,,neutral,negative,positive
"Son lên màu đẹp, kem mịn và thơm, shop đóng hàng tốt.........",,positive,positive,,,positive,,positive
Son đẹp rất đáng tiền nhưng trc khi đánh thì nên dưỡng môi trước,,,,positive,,,,
Đẹp lắm nha mn  sẽ ủng hộp shop nhiều rẻ đeph mà sp tốt tg giao hàng cx ok,,,,positive,,,positive,
Edbsbjsjsjxjdnnajsjzjajjajaisksnxnxnsjakjzjxjsjakzkzkxj,,,,,neutral,,,
"Đỏ cam lên màu siêu đẹppppp, son lì, mịn môi. Son rẻ mà xịn, nói chung là ưng nên mua nha mọi ngườiiiii",positive,positive,,positive,,positive,,
"Tuy ảnh sp ko liên quan nhưng mà tui review thiệt lòng :” son hơi lì, ko lì lắm, son màu v24 hơi lệch màu 1 tí. Nhưng bà nào thích thì cứ mua, cũng ổn lắm “",positive,,,,,negative,,
"Giao hàng siêu nhanh, săn sale nên được giá hời lắm, chất son mịn,  không khô môi.",,positive,,positive,,,positive,
"Mình mua dùm bạn nhma thấy nó đặt ở đây mấy lần rùi nên cũng khá yên tâm ạ, shop gói hàng rất kĩ nên yên tâm lắm ạ ❤",,,,,,,,positive
Son lên màu đẹp nhưng cũng nhanh trôi lắm ạ. Sản phẩm tốt ạ.zzz,negative,,,,,positive,,
màu 25 và 23 mình thấy đẹp nhất. cam đất và đỏ đất phù hợp mọi loại da,,,,,,positive,,
Đóng gói hàng đẹp cực luon. Màu son ok la nhé không dễ trôi mất đâu,positive,,,,,positive,,positive
"Son đẹp, màu xinh, đáng mua
Hhhhhhhhhhhhhhhhhhhhhhhhhhgg",,,,,,positive,,
màu ổn.. nói chung ko quá xuất sắc … tạm được nhé mn.. ổn ổn ổn ổn,,,,,,positive,,
"Son Không lì lắm, giao hàng nhanh bjjwbegdbsbbsbebehhđbbe",negative,,,,,,positive,
"Đóng hàng chắc, đẹp. Bbia thì ok la rồi!!!!!!!!!!!!!!!!!!!!!!",,,,,,,,positive
"Son lên màu ok mọi người nhé. Màu son giống hình 👍👍👍
Đóng gói hơi lâu vì là hàng nước ngoài",,,,,,positive,,
"[Zhihu] Yêu thầm đau khổ như thế nào? (Phần 1)


---- [Wall of text]-----
______________
Lược dịch bởi: May's Closet - Tủ đồ của May | Bài viết thuộc quyền sở hữu của dịch giả và chỉ được đăng tải duy nhất tại Weibo Việt Nam, vui lòng không tự ý repost!
______________


枝枝为只只 [2k+ likes]

Tôi yêu th",,,,,neutral,,,
"Công dụng: no
Kết cấu: no
Độ bền màu: no
Vỏ son trang trí nhìn rất đẹp mình chưa test nên chưa biết độ bám có tốt hay không",neutral,neutral,,,,,,
Son màu này tươi hơn lần trước mk mua nhưng ko sao shop phục vụ rất tốt giáo hàng nhanh,,,,,,neutral,positive,
"Công dụng: đẹp
Kết cấu: sệt
Độ bền màu: oklea
NEWWWW EM VÁY NHUNG tay pha voan xinh hơn cả 1 nàng công chúa đi nàooo 🥰 
Gửi tới chị em 1 mã váy mới toanh, vừa sang vừa sịn vừa rẻ vừa đẹp !! Thân váy làm chất nhung, phần cổ váy thiết kế khéo léo để lộ xương quai xanh, tay voan bồng vừa đủ có chun co giãn nên mặc thoải mái lắm, đặc biệt có chiết",positive,neutral,,,,,,
"Son xinh mua lần t5 r cũg biết chất lượng như nào, lần trước t đặt ở đây son bị bột tán ra k đều còn lợn cợn như chưa tan ý hơi buồn, lần này thì ổn r nè. Giao siêu lâu 3 tuần nhưg k phải lỗi do shop",,positive,,,,,negative,
"Son thơm, đầu son hơi yếu, cảm nhận son khó tán, giao hàng nhanh.",,negative,positive,,,,positive,
Xgmxhmxhkdxhkxhlxhlcihxhkxkhxbcblchkckhxhldhlflfldlfhchlfgkxhk hinh anh mang tính nhận xu. Son nhanh khô nhưng lâu trôi không trây cho son đều đc ,positive,negative,,,,,,
Son này dùng làm son base thì ok chứ đánh nhanh trôi lắm. Sẽ ủng hộ shop dài dài,negative,,,,,,,
"Màu son đẹp ☺
Giao đúng sản phẩm😘
Được tặng thêm miếng dán mụn 😘",,,,,,positive,neutral,
"Shop giao nhanh đóng gói cẩn thận, chất son lì mịn, đánh lên k bị khô môi",positive,positive,,,,,,positive
"Chất son ổn, màu xiu đẹp lun
Đánh lên mịn
Cầm chắc tay, mình không thích mùi cho lắm",,positive,negative,,,positive,,
"Sản phẩm giống mô tả, giao đúng màu, mà giao lâu quá dù bt hàng nc ngoài nhưng hơn 2 tuần mới nhận đc, son thỉnh thoảng hơi vón cục nhẹ nhưng giá rẻ nên chất lượng ok",,negative,,positive,,positive,negative,
"Đáng mua nha mọi người🥰
Màu son rất xinh nha
Wbhtwu5wh5wgrj6jrfehy",,,,,,positive,,
"Sản phẩm rất đẹp, hàng nước ngoài nên hơi lâu nhưng mịn lắm ý ạ.",,positive,,,,,negative,
"Công dụng: sOn môi
Kết cấu: long r
Độ bền màu: Oki
Bao bì đóng gói quá Oki, nhìn sang chảnh ưa nha, đáng đồng tiền bát gạo quá đi",positive,negative,,positive,,,,
NAN,,,,,neutral,,,
"Trời đất ơi,phân vân đắn đo lắm khi mua em này vì sợ lên da không hợp. Nhưng mà mua về hợp không tưởng huhu,màu son hồng nếu tô nhạt,đậm thì sẽ có đỏ tím base hơi Hồng. Chất son làm khô môi nếu kh dưỡng. Chỉ hợp với da tone lạnh hoặc ở giữa lạnh và ấm. Máy ảnh mình chụp không đúng màu,ngoài đậm hơn",,negative,,,,neutral,,
"Vì dịch nên hàng hơi lâu tới tay ( vì ở khác tỉnh nên cũng kg có vấn đề gì)
Shop gói hàng rất cẩn thận, chắc chắn.
Son mới, có mùi thơm nhẹ nhàng, tao nhã, chất mịn không bị khô môi, màu đẹp nhưng hk tươi như hình lắm ( này chắc tại da mk hk trắng lắm nên thấy vậy thôi) nhưng lên vẫn đẹp",,positive,positive,,,positive,neutral,positive
Giao hàng có hơi lâu một chút nhưng chất lượng thì tuyệt vời ạ.,,,,,,,negative,
"mùi son rất thơm như mùi kẹo socola luôn, son màu cũng đẹp nhưng có lẽ không được như mình mong đợi",,,positive,,,positive,,
son khá mượt không lỏng quá cũng không bết quá nhưng mùi hơi hắc,,positive,negative,,,,,
Nậkakakakskskskqkdfjqkdinsqkdofjakkckrkakxcnakakxjkajx,,,,,neutral,,,
Hình ảnh video không liên quan cho lắm nhưng mà màu son chuẩn đẹp lắm ạ giao hàng nhanh lắm.,,,,,,positive,positive,
"Mấy mẫu m đăng có bán
Son ok nh

giá rẻ phù hợp chất lượng
1 tuần có hàng. M ở  tphcm nha",,,,positive,,,neutral,
"Lần đầu mua son real ở trên Shopee rất tuyệt vời, mua trúng shop uy tín, đóng gói hàng cẩn thận kĩ. Son lì, mịn, hơi bóng nhẹ, hàng real rẻ vừa túi học sinh, sinh viên. Chỉ là giao hàng hơi lâu tí, oder 1/10 mad 15/10 mới nhận được :((((",positive,positive,,positive,,,negative,positive
"Thích quá đi nè <3
Son siuu thơm lun á
Màu siu deep
Giao nhanh mà lại rẻ nữa, không trôi nhanh lắm nhưg mà chất lượng như này thì pải 5⭐ ha <3",neutral,,positive,positive,,positive,positive,
"Màu đẹp xuất sắc luôn, nên mua nha mn ơi. Đẹp lắm áaaaaaaaaaaaa",,,,,,positive,,
"Son lên màu đẹp, giá của sản phẩm rẻ nữa, giao hàng quốc tế tưởng lâu nhưng ai dè nhanh lắm.",,,,positive,,positive,positive,
"Son oke lắm luôn!!
Hhhhhhhhhhhhjhhhhhhhhhhhhhhhhhhhhhhhh",,,,,neutral,,,
"Đã mua son của hãng rất nhiều rồi, packaging luôn đỉnh, sang xịn, chất son lỏng, mỏng nhẹ, không khô môi, dễ dùng, nhanh khô tiệp vào môi, màu chuẩn",,positive,,,,positive,,
Tròi ta nói cái màu nó đỉnh. Nên mua hết bảng màu ha mọi người. E muốn màu 13 mà hình nhue shop hong có hiccc,,,,,,positive,,
"Mình mua dùm bạn nên ko biết chất son như thế nào, mua sale nên giá cũng khá rẻ, hình ảnh và video chỉ mang tính chất nhận xu",,neutral,,positive,,,,
Sjíohd,,,,,neutral,,,
"Quy khach tiep tuc truy cap theo goi Mobile Internet dang su dung (neu co). De biet them thong tin ve cac goi Mobile Internet khac, vui long bam goi *098#. Chi tiet LH 198 (0d). Tran trong.",,,,,neutral,,,
"Giá rẻ mà son xịn lắm nha, màu xinh, mùi giống như trà khá thơm.",,,positive,positive,,positive,,
"Kết cấu: rất okee
Độ bền màu: đẹp
Sản phẩm rất oke , giao hàng nhanh :))) luôn ủng hộ shopppppppppp",neutral,positive,,,,,positive,
son đựp thật ý màu 402 đúng đỉnhhhhhhhhhhhhhhhhhhhhhhhhhh,,,,,,positive,,
